"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","TRB","AST","PF","PTS","Trp.Dbl","Awards","Playoffs"
"189","bradlbi01",1969,"Bill Bradley",25,"NYK","SF",10,419,65,141,0.461,30,39,0.769,73,40,38,160,0,"",1
"190","hayesel01",1969,"Elvin Hayes",23,"SDR","C",6,278,60,114,0.526,35,53,0.66,83,5,21,155,0,"",1
"191","abdulma01",1969,"Walt Hazzard",26,"ATL","PG",11,360,53,135,0.393,48,61,0.787,33,43,38,154,0,"",1
"192","hewitbi01",1969,"Bill Hewitt",24,"LAL","PF",15,412,61,151,0.404,18,29,0.621,78,17,40,140,0,"",1
"193","erickke01",1969,"Keith Erickson",24,"LAL","SG",18,446,56,142,0.394,15,25,0.6,86,40,64,127,0,"",1
"194","cunnibi01",1969,"Billy Cunningham",25,"PHI","PF",5,217,49,117,0.419,24,38,0.632,63,12,24,122,0,"",1
"195","kojisdo01",1969,"Don Kojis",30,"SDR","SF",6,232,48,109,0.44,25,31,0.806,51,21,22,121,0,"",1
"196","monroea01",1969,"Earl Monroe",24,"BAL","SG",4,171,44,114,0.386,25,31,0.806,21,16,10,113,0,"",1
"197","larusru01",1969,"Rudy LaRusso",31,"SFW","SF",6,215,34,90,0.378,41,53,0.774,51,15,23,109,0,"",1
"198","thurmna01",1969,"Nate Thurmond",27,"SFW","C",6,263,40,102,0.392,20,34,0.588,117,28,18,100,0,"",1
"199","clarkar01",1969,"Archie Clark",27,"PHI","SG",5,185,40,77,0.519,17,19,0.895,19,22,17,97,0,"",1
"200","imhofda01",1969,"Darrall Imhoff",30,"PHI","C",5,191,33,66,0.5,25,38,0.658,82,12,24,91,0,"",1
"201","sandeto01",1969,"Tom Sanders",30,"BOS","SF",15,197,32,73,0.438,23,31,0.742,48,7,40,87,0,"",1
"202","mullije01",1969,"Jeff Mullins",26,"SFW","SG",6,180,39,96,0.406,8,11,0.727,18,23,16,86,0,"",1
"203","lantzst01",1969,"Stu Lantz",22,"SDR","SG",6,208,30,69,0.435,21,27,0.778,21,10,22,81,0,"",1
"204","loughke01",1969,"Kevin Loughery",28,"BAL","PG",4,173,29,79,0.367,23,35,0.657,18,21,16,81,0,"",1
"205","greerha01",1969,"Hal Greer",32,"PHI","SG",5,204,26,81,0.321,28,36,0.778,30,23,23,80,0,"",1
"206","unselwe01",1969,"Wes Unseld",22,"BAL","C",4,165,30,57,0.526,15,19,0.789,74,5,14,75,0,"",1
"207","ohldo01",1969,"Don Ohl",32,"ATL","SG",11,194,30,86,0.349,13,22,0.591,13,16,25,73,0,"",1
"208","kingji01",1969,"Jim King",27,"SFW","PG",6,142,29,78,0.372,14,18,0.778,25,17,10,72,0,"",1
"209","adelmri01",1969,"Rick Adelman",22,"SDR","PG",6,187,24,53,0.453,22,37,0.595,15,29,18,70,0,"",1
"210","blockjo01",1969,"John Block",24,"SDR","PF",5,97,24,45,0.533,14,18,0.778,14,3,18,62,0,"",1
"211","ellisjo01",1969,"Joe Ellis",24,"SFW","SF",6,161,23,79,0.291,16,25,0.64,51,3,22,62,0,"",1
"212","silaspa01",1969,"Paul Silas",25,"ATL","PF",11,258,21,58,0.362,19,37,0.514,92,21,32,61,0,"",1
"213","kimbato01",1969,"Toby Kimball",26,"SDR","PF",6,197,23,53,0.434,13,25,0.52,74,4,17,59,0,"",1
"214","hawkito01",1969,"Tom Hawkins",32,"LAL","SF",14,180,24,50,0.48,7,18,0.389,40,7,32,55,0,"",1
"215","marinja01",1969,"Jack Marin",24,"BAL","SF",4,153,24,51,0.471,7,11,0.636,18,12,13,55,0,"",1
"216","walkech01",1969,"Chet Walker",28,"PHI","SF",4,109,23,43,0.535,8,12,0.667,23,8,5,54,0,"",1
"217","scottra01",1969,"Ray Scott",30,"BAL","PF",4,137,23,52,0.442,7,8,0.875,32,4,16,53,0,"",1
"218","riordmi01",1969,"Mike Riordan",23,"NYK","SF",10,108,20,39,0.513,12,16,0.75,17,3,27,52,0,"",1
"219","rileypa01",1969,"Pat Riley",23,"SDR","SG",5,76,16,37,0.432,5,6,0.833,11,2,13,37,0,"",1
"220","turnebi01",1969,"Bill Turner",24,"SFW","SF",6,96,13,35,0.371,7,11,0.636,25,7,14,33,0,"",1
"221","joneswa02",1969,"Wali Jones",26,"PHI","PG",5,103,12,45,0.267,8,10,0.8,16,9,17,32,0,"",1
"222","leecl01",1969,"Clyde Lee",24,"SFW","PF",6,129,9,33,0.273,9,11,0.818,43,5,14,27,0,"",1
"223","williar01",1969,"Art Williams",29,"SDR","PG",6,102,12,25,0.48,3,7,0.429,17,32,15,27,0,"",1
"224","guokama02",1969,"Matt Guokas",24,"PHI","SF",5,100,11,27,0.407,4,5,0.8,12,8,12,26,0,"",1
"225","barneji02",1969,"Jim Barnett",24,"SDR","SG",6,51,9,23,0.391,7,8,0.875,3,7,5,25,0,"",1
"226","maydo01",1969,"Don May",23,"NYK","SF",9,88,9,30,0.3,7,9,0.778,23,8,7,25,0,"",1
"227","williro01",1969,"Ron Williams",24,"SFW","PG",4,42,10,26,0.385,4,4,1,4,3,4,24,0,"",1
"228","greenjo01",1969,"Johnny Green",35,"PHI","PF",5,44,9,16,0.563,5,9,0.556,14,1,12,23,0,"",1
"229","lewisbo01",1969,"Bobby Lewis",23,"SFW","SG",5,59,11,28,0.393,1,3,0.333,5,6,12,23,0,"",1
"230","ellisle01",1969,"Leroy Ellis",28,"BAL","C",4,67,8,16,0.5,3,5,0.6,18,2,8,19,0,"",1
"231","attleal01",1969,"Al Attles",32,"SFW","PG",6,109,7,21,0.333,1,4,0.25,18,21,17,15,0,"",1
"232","mannied01",1969,"Ed Manning",25,"BAL","PF",4,63,7,18,0.389,0,0,NA,23,1,11,14,0,"",1
"233","davisji01",1969,"Jim Davis",27,"ATL","C",8,52,4,15,0.267,5,8,0.625,17,1,7,13,0,"",1
"234","schluda01",1969,"Dale Schlueter",23,"SFW","C",3,25,3,9,0.333,7,15,0.467,22,1,4,13,0,"",1
"235","russeca01",1969,"Cazzie Russell",24,"NYK","SF",5,36,5,21,0.238,2,2,1,5,1,4,12,0,"",1
"236","bowmana01",1969,"Nate Bowman",25,"NYK","C",10,62,4,15,0.267,3,3,1,32,3,16,11,0,"",1
"237","hoskebi01",1969,"Bill Hosket",22,"NYK","PF",4,22,3,6,0.5,0,1,0,7,2,3,6,0,"",1
"238","chanedo01",1969,"Don Chaney",22,"BOS","SG",7,25,1,6,0.167,3,4,0.75,4,0,7,5,0,"",1
"239","allenbo01",1969,"Bob Allen",22,"SFW","PF",3,19,0,4,0,4,7,0.571,6,0,2,4,0,"",1
"240","andercl01",1969,"Cliff Anderson",24,"LAL","SG",3,10,2,5,0.4,0,0,NA,1,0,1,4,0,"",1
"241","crawffr01",1969,"Freddie Crawford",27,"LAL","SG",5,20,2,4,0.5,0,1,0,3,3,4,4,0,"",1
"242","quickbo01",1969,"Bob Quick",22,"BAL","SF",2,9,2,3,0.667,0,2,0,1,0,1,4,0,"",1
"243","gueriri01",1969,"Richie Guerin",36,"ATL","SG",3,32,1,4,0.25,1,2,0.5,5,7,8,3,0,"",1
"244","wilsoge01",1969,"George Wilson",26,"PHI","C",5,45,0,7,0,3,4,0.75,18,8,9,3,0,"",1
"245","barnhjo01",1969,"John Barnhill",30,"BAL","PG",1,10,1,2,0.5,0,0,NA,2,1,3,2,0,"",1
"246","halimsh01",1969,"Shaler Halimon",23,"PHI","SF",1,2,1,2,0.5,0,0,NA,0,0,0,2,0,"",1
"247","johnsri01",1969,"Rich Johnson",22,"BOS","C",2,4,1,1,1,0,0,NA,2,0,0,2,0,"",1
"248","cartyja01",1969,"Jay Carty",27,"LAL","PF",3,10,0,2,0,1,3,0.333,2,1,3,1,0,"",1
"249","finkeha01",1969,"Hank Finkel",26,"SDR","C",2,12,0,3,0,0,0,NA,7,0,3,0,0,"",1
"250","grahama01",1969,"Mal Graham",23,"BOS","PG",2,3,0,2,0,0,0,NA,0,1,0,0,0,"",1
"251","harlisk01",1969,"Skip Harlicka",22,"ATL","PG",1,1,0,0,NA,0,0,NA,0,0,1,0,0,"",1
"252","ormsba01",1969,"Barry Orms",22,"BAL","PG",3,10,0,0,NA,0,0,NA,1,0,2,0,0,"",1
"253","workmto01",1969,"Tom Workman",24,"BAL","",1,2,0,1,0,0,0,NA,1,0,0,0,0,"",1
