"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","PF","PTS","Trp.Dbl","Awards"
"194","bracest01",1975,"Steve Bracey",24,"GSW","SG",42,NA,340,54,130,0.415,25,38,0.658,10,28,38,52,14,1,41,133,0,""
"195","finkeha01",1975,"Hank Finkel",32,"BOS","C",62,NA,518,52,129,0.403,23,43,0.535,33,79,112,32,7,3,72,127,0,""
"196","fryerbe01",1975,"Bernie Fryer",25,"NOJ","SG",31,NA,432,47,106,0.443,33,43,0.767,16,30,46,52,22,0,54,127,0,""
"197","hewitbi01",1975,"Bill Hewitt",30,"CHI","PF",18,9,467,56,129,0.434,14,23,0.609,30,86,116,24,9,10,46,126,0,""
"198","ligonbi01",1975,"Bill Ligon",22,"DET","SG",38,NA,272,55,143,0.385,16,25,0.64,14,12,26,25,8,9,31,126,0,""
"199","owensji01",1975,"Jim Owens",24,"PHO","SF",41,NA,432,56,145,0.386,12,16,0.75,7,36,43,49,16,2,27,124,0,""
"200","bailegu01",1975,"Gus Bailey",23,"HOU","SG",47,NA,446,51,126,0.405,20,41,0.488,23,59,82,59,17,16,52,122,0,""
"201","anderda02",1975,"Dan Anderson",24,"POR","SG",43,NA,453,47,105,0.448,26,30,0.867,8,21,29,81,16,1,44,120,0,""
"202","roberri01",1975,"Rick Roberson",27,"NOJ","C",16,NA,339,48,108,0.444,23,40,0.575,39,79,118,23,7,8,49,119,0,""
"203","tschojo01",1975,"John Tschogl",24,"PHI","SF",39,14,623,53,148,0.358,13,22,0.591,52,59,111,30,25,25,80,119,0,""
"204","kojisdo01",1975,"Don Kojis",36,"KCO","SF",21,NA,232,46,98,0.469,20,30,0.667,14,25,39,10,12,1,31,112,0,""
"205","weslewa01",1975,"Walt Wesley",30,"2TM","C",45,0,247,42,93,0.452,16,27,0.593,18,45,63,12,7,5,51,100,0,""
