"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"425","hammoto01",2001,"Tom Hammonds",33,"MIN","PF",7,0,30,3,10,0.3,0,0,NA,3,10,0.3,0.3,1,2,0.5,2,2,4,1,0,0,3,8,7,""
"426","ellispe01",2001,"Pervis Ellison",33,"SEA","C",9,0,40,2,7,0.286,0,0,NA,2,7,0.286,0.286,2,2,1,2,10,12,3,0,2,3,13,6,""
"427","robinja03",2001,"Jamal Robinson",27,"MIA","SF",6,0,72,3,22,0.136,0,2,0,3,20,0.15,0.136,0,0,NA,3,8,11,2,6,0,3,7,6,""
"428","wingada01",2001,"David Wingate",37,"SEA","SG",1,0,9,3,3,1,0,0,NA,3,3,1,1,0,0,NA,0,0,0,2,0,0,0,1,6,""
"429","bellra01",2001,"Raja Bell",24,"PHI","SG",5,0,30,2,7,0.286,1,3,0.333,1,4,0.25,0.357,0,0,NA,0,1,1,0,1,0,2,1,5,""
"430","ndiayma02",2001,"Mamadou N'Diaye",25,"TOR","C",3,0,10,1,4,0.25,0,0,NA,1,4,0.25,0.25,2,2,1,1,1,2,0,0,0,0,3,4,""
"431","cokerjo01",2001,"John Coker",29,"GSW","C",6,0,32,1,8,0.125,0,0,NA,1,8,0.125,0.125,0,0,NA,3,2,5,2,1,0,2,4,2,""
"432","hartja01",2001,"Jason Hart",22,"MIL","PG",1,0,10,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,0,0,1,0,0,2,0,2,""
"433","josepga01",2001,"Garth Joseph",27,"2TM","C",4,0,16,1,5,0.2,0,0,NA,1,5,0.2,0.2,0,2,0,2,0,2,1,0,1,2,1,2,""
"434","millean01",2001,"Anthony Miller",29,"3TM","PF",4,0,11,1,2,0.5,0,0,NA,1,2,0.5,0.5,0,0,NA,0,2,2,0,0,0,1,1,2,""
"435","boguemu01",2001,"Muggsy Bogues",36,"TOR","PG",3,0,34,0,2,0,0,1,0,0,1,0,0,0,0,NA,0,3,3,5,2,0,4,3,0,""
"436","bowmair01",2001,"Ira Bowman",27,"ATL","PG",3,0,19,0,2,0,0,0,NA,0,2,0,0,0,0,NA,1,1,2,7,0,0,1,0,0,""
"437","ketnela01",2001,"Lari Ketner",23,"IND","PF",3,0,7,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,1,0,0,2,0,0,""
"438","livinra01",2001,"Randy Livingston",25,"GSW","PG",2,0,7,0,2,0,0,1,0,0,1,0,0,0,0,NA,0,1,1,1,0,0,0,0,0,""
"439","longar01",2001,"Art Long",28,"SAC","PF",9,0,20,0,4,0,0,0,NA,0,4,0,0,0,2,0,2,6,8,1,0,3,2,5,0,""
"440","pankoan01",2001,"Andy Panko",23,"ATL","SF",1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,""
"441","roberte01",2001,"Terrance Roberson",24,"CHH","SF",3,0,13,0,2,0,0,1,0,0,1,0,0,0,0,NA,0,1,1,1,0,0,2,3,0,""
