"","key","Year","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"13","blockjo01",1967,"John Block","PF","22","LAL","22","","118","20","52",".385","","","","20","52",".385",".385","24","34",".706","","","45","5","","","","20","64"
"14","boozebo01",1967,"Bob Boozer","PF","29","CHI","80","","2451","538","1104",".487","","","","538","1104",".487",".487","360","461",".781","","","679","90","","","","212","1436"
"15","bowmana01",1967,"Nate Bowman","C","23","CHI","9","","65","8","21",".381","","","","8","21",".381",".381","6","8",".750","","","28","2","","","","18","22"
"16","bridgbi01",1967,"Bill Bridges","PF","27","STL","79","","3130","503","1106",".455","","","","503","1106",".455",".455","367","523",".702","","","1190","222","","","","325","1373"
"17","bryanem01",1967,"Em Bryant","PG","28","NYK","63","30","1593","236","577",".409","","","","236","577",".409",".409","74","114",".649","","","273","218","","","","231","546"
"18","caldwjo01",1967,"Joe Caldwell","SF","25","STL","81","","2256","458","1076",".426","","","","458","1076",".426",".426","200","308",".649","","","442","166","","","","230","1116"
"19","chambwi01",1967,"Wilt Chamberlain*","C","30","PHI","81","","3682","785","1150",".683","","","","785","1150",".683",".683","386","875",".441","","","1957","630","","","","143","1956"
"20","chambje01",1967,"Jerry Chambers","SF","23","LAL","69","","1015","224","496",".452","","","","224","496",".452",".452","68","93",".731","","","208","44","","","","143","516"
"21","chapple01",1967,"Len Chappell","C-PF","26","TOT","73","","708","132","313",".422","","","","132","313",".422",".422","53","81",".654","","","189","33","","","","104","317"
"22","clarkar01",1967,"Archie Clark","SG","25","LAL","76","","1763","331","732",".452","","","","331","732",".452",".452","136","192",".708","","","218","205","","","","193","798"
"23","clemeba01",1967,"Barry Clemens","SF","23","CHI","60","","986","186","444",".419","","","","186","444",".419",".419","68","90",".756","","","201","39","","","","143","440"
"24","costela01",1967,"Larry Costello*","PG","35","PHI","49","","976","130","293",".444","","","","130","293",".444",".444","120","133",".902","","","103","140","","","","141","380"
"25","countme01",1967,"Mel Counts","C","25","TOT","56","","860","177","419",".422","","","","177","419",".422",".422","69","94",".734","","","344","52","","","","183","423"
