"","Year","Player","Age","Team","Pos","G","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards","GS","MP","X3P","X3PA","X3P.","ORB","DRB","STL","BLK","TOV","X2PAdd","X3PAdd","FTAdd","PTSAdd","valueAdd","vaPTSv","vaAST","vaSTL","vaBLK","vaTOV","vaDRB","vaORB"
"7807","2008-2009","Mario Chalmers (chalmma01)",22,"MIA","PG",7,20,50,0.4,14,29,0.483,0.46,5,7,0.714,19,31,21,51,"",7,231,6,21,0.286,6,13,20,1,17,-0.0611887329771567,-1.68158227292672,-0.392054639790624,-5.5591789245251,-38.9857460182597,-44.2799675452817,12.0811001645616,12.3091143082502,-2.4788810640242,-3.9821088866839,-3.98190818956269,-3.09391588099384
"7808","2008-2009","Will Bynum (bynumwi01)",26,"DET","PG",4,18,39,0.462,17,35,0.486,0.474,10,10,1,6,10,9,47,"",0,78,1,4,0.25,1,5,5,0,8,0.0311515291655007,-0.464301385319376,2.29992194315625,0.969320845529126,14.3823244717164,14.8275434262685,3.56968261232583,2.50481858868328,-1.07043122510661,-3.47321557206403,-1.19149881312566,-1.75389539079404
"7809","2008-2009","Daniel Gibson (gibsoda01)",22,"CLE","PG",14,13,40,0.325,3,12,0.25,0.45,11,11,1,7,6,18,47,"",0,172,10,28,0.357,1,6,1,3,7,-2.82131947571469,-0.25410969723563,2.52991413747188,-3.87505390566438,-47.8756439866598,-23.9443914189976,-9.62564646104963,-3.92040626658513,-0.286711547450213,2.36464056846754,-3.88747531313307,-4.70059964224727
"7810","2008-2009","Willie Green (greenwi01)",27,"PHI","SG",6,21,51,0.412,17,40,0.425,0.451,1,3,0.333,6,7,13,47,"",6,148,4,11,0.364,0,6,0,1,5,-2.40439825238228,-0.022828809628283,-1.31102341705312,-6.18830635070254,-36.813087636818,-14.0451740116957,-6.27981956000431,-4.18390510025335,-1.3398324526928,2.9985669301765,-3.13512529148543,-4.63949180016041
"7811","2008-2009","Tony Battie (battito01)",32,"ORL","PF",21,21,45,0.467,21,45,0.467,0.467,3,5,0.6,20,2,12,45,"",0,128,0,0,NA,7,13,0,3,2,-0.814948033930069,0,-0.850039028421875,-2.47993509628201,-18.5717213107696,-7.79582617227732,-9.85045690882264,-3.61851251913803,0.317121451327878,4.7827988062761,-0.753072679991595,0.826161808138032
"7812","2008-2009","Rudy Fernández (fernaru01)",23,"POR","SG",6,15,35,0.429,7,16,0.438,0.543,7,7,1,17,6,12,45,"",1,162,8,19,0.421,2,15,8,3,9,-0.753759300952914,1.04356841973297,1.60994536020938,3.23313201750245,-29.5191994362282,-21.8197174992885,-8.68575380702047,2.95607954101876,-0.149476775000647,-0.0401382520057729,-1.31744637443408,-3.69587828699999
"7813","2008-2009","Anthony Carter (cartean01)",33,"DEN","PG",16,20,49,0.408,18,37,0.486,0.429,2,4,0.5,32,34,27,44,"",0,228,2,12,0.167,11,21,15,1,11,0.0329316165463864,-2.38890415595813,-1.0800312227375,-8.18088045751911,-37.2560060078531,-50.042565369369,15.6333215548963,7.68407354038443,-2.43771063228933,1.5134590118177,-1.8820424252901,0.456338769515982
"7814","2008-2009","Wally Szczerbiak (szczewa02)",31,"CLE","SF",12,16,36,0.444,14,24,0.583,0.472,9,11,0.818,28,7,19,43,"",0,154,2,12,0.167,8,20,2,1,9,2.34936104857063,-2.38890415595813,0.527914137471876,-1.94007623326125,-32.7630416424572,-20.5199783635211,-6.8437551524218,-2.46958301257474,-1.42217331616254,-0.456809418773855,0.186975723344276,0.702358130913869
"7815","2008-2009","Michael Finley (finlemi01)",35,"SAS","SF",5,15,34,0.441,8,19,0.421,0.544,3,4,0.75,15,5,8,40,"",5,143,7,15,0.467,3,12,1,1,4,-1.21808916988159,1.51386980505234,-0.0800312227374995,2.02539985265636,-29.52220907201,-18.9828370518411,-7.99004229574039,-3.10058702396792,-1.27121506646802,3.68011738195305,-1.4740191949672,-2.40902567363483
"7816","2008-2009","Daequan Cook (cookda02)",21,"MIA","SF",7,13,42,0.31,4,12,0.333,0.417,2,2,1,17,4,18,37,"",0,161,9,30,0.3,3,14,2,0,6,-1.82531947571469,-1.98226038989532,0.45998438863125,-9.13743573248407,-55.9699964495868,-29.4072501073176,-10.7719336043682,-2.6674704159651,-2.20947983643801,2.73368764516803,-1.53682620831126,-2.97328818987056
